Text,Category
"no aguanto el frío en las noches, siempre sueño cosas muy feas y eso me duele más.☹️
",0
"que chingona es la sensación de dibujar por simple diversión; tan cabrona que se te pueden ir las horas como si se tratara de un videojuego.
",0
"puro joto decadente con sidral en la cola pide  #ubericecream 😐👆
",1
"jajajaja claro que si, somos unos mocos es obvio que ya habían empezado a rt y a joder 😂😂😂 ni aguanta nada el maricón
",1
"mamá está triste porque mi hermano de 17 años y yo nos acabamos un cartón de chelas y medio pomo. yo estaría muy orgulloso de mis hijos 😂🙄
",0
"#masterchefmx se va hugo, por estar pensando en la mamá luchona
",0
"que me digan qué putas vergas significo en sus perras vidas, hijos de su pinche madre!!!
",1
"un día te dicen que te aman y no te dejaran nunca y al otro dìa ya ni una mentada de madre te dan. asi es el amor.
",0
"yo también odio a dos personas: a ti pendejete y a tu golfa madre. quelo saque del aire. un peligro para todas.
",1
"ya ando bien bómboro quiñá quiñá de estudiar finanzas putas corporativas.
",0
"#udíacomohoy el papa francisco canonizó a la madre teresa de calcuta
",0
"ay cabrón, mejor el profe lapuente <url>
",0
"el culo.- qué tienes corazón? el corazón.- estoy cansado y muy lastimado  elculo.- 😒 (se mamo)  #bartola #miercolesdeganarseguidores
",0
"un ratito de exhibicionismo y clau no deja de ser una putita en todos lados rt rt rt que harían si se la encuentran
",1
"hola buenas noches yo me encantaria mamar esa deliciosa panochita culito mmm saludos amigos espero conocerlos
",0
"cc le dices a tu mejor amigo que estás gorda 😂
",0
"se han tatuado mi nombre tantas putas veces que ya no tiene ningún significado para mí... #truelife
",0
"messi lo hace de nuevo poniendo una sonrisa en mi rostro... abranle paso al rey putos...
",0
"voy a mirar el partido sola pq la putita esta se durmio
",1
"lo mejor es que los putos gringos y el pendejo de trump verán el mundial por tv.
",1
"hace mucho que nadie me dice algo ""bonito"", puras cosas feas hoy en día.
",0
"no quiero saber entonces como es la loca de tu jefa
",1
"#sorayajiménez una verdadera luchona.
",0
"ni rhcp, ni aterciopelados; hoy mil putos contratos.... ahhhhh pero quieres ser don vergas no? 🙄
",0
"vamo a youtube para a reportar a estos hdp!
",1
"septiembre con s de siento que ya valio verga... #septiembre
",0
"parece que en vez de amiga tengo una novia loca, celosa y dramática.🙄
",0
"por eso no te vas a casar pronto, sigue juntandote con puro joto
",1
"no sé cómo pedirle a la señora que me ayuda a desacomodar los libros que no use mi librero como un mueble cualquiera sin parecer una loca
",0
"los uruguayos solo saben chiflar? alienten un poquito a su equipo, una canción,  algo no se...
",0
"mi vecina me acaba de despertar con su música a todo volumen.  ya se la cargó la verga.
",1
"estan mame y mame que quieren a alguien que las quiera bonito, les llega y lo tratan como cagada, asi no se putas puede.
",0
"borré mi ultima igstory porque se veían muy feas :(
",0
"es cierto que las cosas hay que pedirlas de buena forma pero no de una manera marica y cae mal☺
",0
"usted si se pasa de verga, pinche tramposo. le habran dado ese ferrari a cambio de que favor.
",1
"@usuario @usuario para un psicólogo ha de ser poca madre ver juntos a tres sociopatas enfermos de poder y mitomanos
",0
"aparte de golfa y huebona! !hasta plana eres
",1
" @usuario @usuario pues levántate más temprano cabron huevon.
",1
"nos iban a meter otro gol pero era un de puta madre ay me mate
",0
"el solecito de skype me representa bien cabrón.
",0
"cuando dicen que se basan en tus videos para hacer videos, pero cabrón tampoco hay que robar gameplays y diálogos 😂
",0
"los putos temones que me ponen en el kebap mimo de oviedo no ye ni medio normal, la próxima vez le pregunto el nombre de la canción
",0
"verga, consiguen novio y se ponen insoportables y de hueva. no quiero imaginar como serían si se casan. ojalá nunca lo hagan.
",0
"y aquí no sirvió pa chiflar a su flauta <url>
",0
"este cabrón se ve que está durmiendo muy chingon, deja le empiezo a arruinar su día -mi alarma.
",0
"debajo de la manta, da lo mismo prieta que blanca
",1
"soy tan protectora y dependiente de mi gato que me asombra que no sea maricón.
",0
"se jugaron como 60 minutos y los putos estos hicieron tiempo los otros 30
",0
"estoy como actriz porno... hasta la verga, de todos.
",0
"golosota panocha peluda me encantan la verga de los maduros
",0
"mi amigo @usuario siempre me dice que su morrita se la hace de pedo por cosas muy tontas y pues como le explico que... <url>
",0
"pinche cristiano hay algo que no te falte cabron? 😭 @usuario #f12tdf <url>
",0
"mi vida es un tutorial de cómo hacer las cosas de la verga.
",0
"@usuario está súper chichona más que @usuario 🤣 #nochedeconfesiones
",0
"abron! el sur es de lo peor en cómida y más putas careros! no conocen las órdenes es taco x taco
",0
"@usuario @usuario @usuario por tonta y por miedo no lo confronte para que se bajara del vagón que era para mujeres 2/2
",0
"en mi próximo libro explicaré como usar el mal genio para alejar al chico con el que ya no quieres salir sin parecer una maldita loca
",0
"estaba loca, maldita sea, estaba loca, tenía en su cabeza una locura hermosa. ¿como no iba a perder la puta razón por ella?
",0
"verga, -digo, v word- nunca los había leído d: en qué burbuja vivo.
",0
"te mojo la verga papi maduri mejo lo saboreo muy rico
",0
"@usuario hablo de este hdp. 
",1
"no hay nada más feo que las trenzas, solo las muy bonitas se ven más o menos, las promedio y feas es mejor no intentarlo
",0
" @usuario , esta cagado el perrito 😀 <url>
",0
"a parte me cae re gorda la lucero, tal vez por eso no le perdono la fodonguéz de sus ""destas"" 😁
",0
"otra de odio, la de las ultrasónicas! ""vales madre! vales verrrr..."" #t909
",0
"que estan abiertos hasta las putas 4 am cuando ya todos cerraron... es lo único
",0
"hubiera volteado a ver el eclipse para quedarme ciego y asi no ver los kilos de verga que te valgo.
",0
"chingada madre llevo 4 años aquí no mames
",0
"no hay algo que me haga más feliz que estos putos sin mundial 😂😂😂😂 jajajajajajajaajjaja
",1
"el beso es una sed loca que no se apaga con beber, se apaga con otra boca que tenga la misma sed.
",0
"te voy a mamar tu panocha que haré que te vengas varias veces
",1
"ya lo veo venir, el miércoles el profesor me tirará de a loca y derechista :( perdón por no confiar en ninguno político profesor
",0
"inventa la excusa más tonta del mundo y ven a buscarme
",0
"me pregunté, ¿qué me falta para gustarte y que no me dejes en seen? pero recordé que soy la verga y que no me falta nada 🤷…
",0
"del plato a la boca se cae la sopa. nunca den por sentado algo amigos, puede aparecer una dra loca queriendo controlar sus vidas y los odie
",0
"putos pesados con sus alternativas y su diálogo. sí ha dicho el rey que guerra pues guerra.
",0
"quién sabe a cual de sus putas se los ande mandando
",0
"ándele pinche @usuario por joto y tramposo #noerapenal
",1
"que pedo siempre veo a esa niña comiendo lechuga y sigue gorda, cómo que algo no le está funcionando.
",0
"qué pedo con mi insomnio todas las putas noches 😩😩😩😩😩
",0
"exigimos saquen del aire a agresivo, misoginozurita mvs vs madres d familia 
",0
" @usuario si este hijodeputa quiere ""ayudar"" , debería ser completamente invisible al hacerlo...igual que su bola de secretarios lameculos
",1
"habría preferido ver tanto tatuaje chileno en el mundial y no putos argentinos.
",1
"y mis costillas?? y las cebollas feas y quemadas
",0
"excelente tarde-noche papitos!!!! hoy no he recibido ningún md ni fotos calientes por md.... 😕😕😔😔
",0
"perra!!! estamos en méxico al menos en alguna lengua nativa hubieras tuiteado. inche gorda
",1
"a mí equipo de costos les ha valido verga la exposición
",0
"el fruto del servicio es la paz, madre teresa de calcuta.
",0
"mujeres: no presuman que aprietan a sus veintitantos años, no es un orgullo debe ser obligación, pinche bola de putas. 🐷…
",1
"la loca pareces tu pajuo agarra tu mecedora ponte a tejer es mi ultimo comentario para ti ya puedo…
",1
"que toman foto así de que: “pise una piedra en el zócalo” y etiquetan todo el puto tiempo, es como: “ya nos dimos cuenta dude! de-ten-te 🤫
",0
"@usuario gracias gaby fui a parisina pero están muy feas no son decorativas. aún sigo en busqueda
",0
"llega el adscrito les pregunta y dicen que si a la verga #putos
",0
"yo hablando con mi mejor amigo gay jajajajaja
",0
"@usuario mejor tú pinche perro solo mono me puede decir así perro ya a ver cuando nos ponemos al tiro ehh puto
",1
"no es mi culpa que yo si sepa divertirme y tu andes valiendo verga 🤷🏻‍♀️🤙🏼
",0
"me la pela tu, me la pela ella, me la pela ella y tú clika entera 😏😎
",0
"auuu que bonito es lo bonito @usuario ya vámonos a ver #masterchefmx <url>
",0
"quitame la papi y llevatela para que me recuerdes cada que se pare tu rica verga
",0
"@usuario la luchona jajajaja creí que me ibas a besar y solo te subiste al carro a ver si no traía nada de una vieja jajajajaja 😂🤦🏻‍♂️
",0
"el marica puso su perfil privado después de la trolleada
",1
"soñé que estaba embarazada y que veía mi ultrasonido en una resolución muy cabrona porque era como ver al bebé en vivo y yo así de ya te amo
",0
"#primerplano que falta de respeto de jc como se refirió diciendo llegastes gorda podría haber sido mas caballero pero es pedir pera al olmo
",0
"#elcapitánenimagen dimitrio león tiene un corazón muy malo, pero pésimo como villano, se le ocurren maldades tontas. @usuario
",0
"ayer me desperte en la madrugada 5am super asustada porque tuve un sueño horrible del fin del mundo y otras cosas feas entcs abro los ojos
",0
"jajajaja orgulloso 😂😂 hijos de 60 mil putas perdedores de tiempo😂😂😂😂
",1
" ""soy puta porque vivo libremente mi sexualidad"". no. las putas trabajan y cobran, tu nomás quieres convivir socialmente con discursos guay.
",0
"no la vayan a cargar y por su culpa entren los putos gringos al mundial
",1
"examen cagado de risa, estas para reprobar me cae😂😭
",0
"uy estoy en las mismas solo dos putas horas 😭 pero yo si iré
",0
"acabo de encontrarme mi primera arruga !!!!!!!!!!!!!!!!!!!!!!!! <url>
",0
"@usuario que ya chinguen a su madre todos alv
",1
" @usuario jajajajajaja te lo juro que no fue así 🙈 pero resultó más cagado aún ✨✨✨
",0
"🎵🎵de mi parte vas y chingas a tu madre @usuario 🎵🎵 grande tigre sepúlveda. 🙌🏾🙌🏾
",1
" @usuario haber lameculos donde esta la trepadora d @usuario ustedes siempre queriendo quedar bien  <url>
",1
"oido las junta y ahors me toca organizar una de 5 putas horas!!! jajajajaja por qué me odias tanto @usuario ??
",0
"@usuario viva la austeridad priísta!!! además las pintarán de blanco los hdp !!!  😜😜😜
",1
"no callar y no permitir que los putos televisos  no callen que el pueblo mexicano se revele ante el pinche gobierno…
",1
"por que putas haces un pinche caldo hirviendo cuando estamos a 30 grados papá!😤
",0
"@usuario yo si y no es prieta ni prietita, totalmente clara
",0
"pues a mi me gusta más los fics que no son gip :v no estoy tan loca jajajaja
",0
"me da mucha risa cuando algún mariquita sale de su escondite
",0
"retweeted valentín elizalde (@usuario amor de mi vida manifiéstate con un dm diciendo que podemos ser todo.  putos absténganse.
",0
"no mames pinches iraquíes, ya me imagino que sus  viejas cuándo les quieren dar sus trancacitos se echan a correr putos 😂😂😂 <url>
",1
"eso no se hace puta vergaaaaaa, putos los que le hayan dado like a esta mamada.
",1
"rajon y maricon tony galy como.su patrón moreno valle uber si cabify no políticos eztupidos y luego.dicen que no hay corrupcion
",1
"puta madre, era de esperarse⚽️🤷🏻‍♂️
",0
"ver videos de morras con pito no te hace gay.
",0
"que pedo putos, ya de vuelta por acá y listo para morbosear #axilasapestosas #gaysniffee
",0
"un mensaje para el amor de mi vida: ""ya  me vales verga, mi amor"". besos
",0
" @usuario así deberíamos salir a exigir nuestros derechos y acabar este mal gobierno y no para putos conciertos lava cocos,que pinches borregos son
",1
"vienen más putitas a mi zona elite, cada semana espero traerles alguna perra que disfrute la verga como yo. info en
",0
"#lucero se me hizo gorda al verla cantando el himno
",0
"el problema no es que sea tonta, el problemas es que en su afán de querer convencer de lo contrario hace un sinfín de pendejadas.
",0
"una noche loca... (@usuario barezzito in miguel hidalgo, df, distrito federal)
",0
"debería estar haciendo tarea, ejercicio, comida y dejar de valer verga. pero pues estoy hecha bolita y así no puedo hacer mucho.
",0
"la celebración de la selección argentina en los vestidores: ""no me importa lo que digan esos putos periodistas""
",0
"sabes que ya valió madre cuando estornudas cada 5 minutos.
",0
"gracias por tus huevos que le pones a @usuario @usuario tan marica
",1
"me siento como si estuviera peda a la verga sin estar peda a la verga.
",0
"@usuario pinche nalgas tan más feas
",1
